;total_ips_origem;total_ips_destino;total_pacotes;5_kurt_total_ips_origem;5_skw_total_ips_destino;5_coefficient_variation_total_pacotes;has_bot
0;213;226;3802;;;;0
1;203;223;3259;;;;0
2;202;202;3966;;;;0
3;196;208;3889;;;;0
4;184;188;4077;;;;0
5;192;204;4058;;;;0
6;193;202;3721;;;;0
7;200;208;2127;;;;0
8;195;204;2579;;;;0
9;206;210;3258;;;;0
10;202;209;3977;;;;0
11;220;225;2779;;;;0
12;221;217;1993;;;;0
13;191;203;2727;;;;0
14;230;243;3479;;;;0
15;255;271;3753;;;;0
16;181;182;4843;;;;0
17;194;211;5086;;;;0
18;181;195;4970;;;;0
19;199;200;4616;;;;0
20;145;159;3740;;;;0
21;196;211;3466;;;;0
22;207;219;2699;;;;0
23;170;181;1951;;;;0
24;220;234;2268;;;;0
25;211;216;2681;;;;0
26;205;220;3178;;;;0
27;206;219;3261;;;;0
28;184;193;3557;;;;0
29;185;203;5181;;;;0
30;165;185;3011;;;;0
31;197;220;2923;;;;0
32;220;229;2531;;;;0
33;188;203;3085;;;;0
34;215;223;3107;;;;0
35;217;228;3453;;;;0
36;231;246;3881;;;;0
37;211;226;4268;;;;0
38;247;249;3866;;;;0
39;193;211;4367;;;;0
40;218;208;2816;;;;0
41;202;214;2303;;;;0
42;222;235;2789;;;;0
43;235;250;3809;;;;0
44;220;229;5916;;;;0
45;202;214;7838;;;;0
46;190;207;3585;;;;0
47;195;208;3984;1.172743829791614;0.1690897764738663;0.2986660905582664;0
48;205;218;3246;1.214172311032936;0.1924308524810876;0.2998270653064562;0
49;210;226;2585;1.193100378470912;0.1845165113978348;0.3034400750301432;0
50;199;208;2456;1.1853911870032283;0.1705756432488342;0.3089868989630445;0
51;225;238;3034;1.0387605860733464;0.1046192092956201;0.3108619920864193;0
52;227;244;3686;1.028451039251172;0.0426857913916378;0.3107864860937591;0
53;226;230;5475;0.9657494599818128;-0.0294223434053337;0.3177406570812048;0
54;218;233;4716;0.9983845382836052;-0.1090681885254922;0.3194052236293282;0
55;230;225;4494;0.8666304753197187;-0.1608921809191601;0.3116552877767472;0
56;273;302;4729;1.2924447354233817;0.670826715203483;0.3080789920706616;0
57;253;242;5049;0.9344881202198502;0.5880416128291025;0.3093376727135449;0
58;223;232;4982;0.8915582083423002;0.5294218338492988;0.3114881629079672;0
59;209;226;4315;0.9267786596661504;0.5264912203336055;0.3074518074109685;0
60;227;232;5752;0.8773565851057936;0.4844144810081904;0.3027593926715354;0
61;193;202;4118;0.8953211834460011;0.4844768771273664;0.2977139009016515;0
62;213;223;4314;1.0157176332059092;0.5352846858131473;0.2965186041177429;0
63;188;191;4283;1.2568877774408491;0.5325256307576135;0.2960369460788409;0
64;205;219;4907;1.4758879362802366;0.5752763154188288;0.2962385934180445;0
65;194;208;5288;1.4758879362802366;0.5800014644562307;0.2971684108603687;0
66;215;221;3949;1.713407823874594;0.5576490303490016;0.2959471812942989;0
67;217;223;3929;1.7329990414924463;0.5213187501438838;0.2956669499376593;0
68;216;224;3809;1.4065036471017982;1.171166437791871;0.2955309440593635;0
69;176;182;3978;1.1818823077374516;0.971623524461135;0.29437963858235;0
70;197;216;3973;1.1294634929569165;0.9792328728600018;0.2890427382492433;0
71;227;229;3990;1.2767297713562031;1.1490792581994205;0.2765403697448446;0
72;207;200;3878;1.33204705305312;1.194342313379701;0.2671551113890035;0
73;222;234;3713;1.2541946386595366;1.1291883776185847;0.2616333451926654;0
74;274;319;3490;1.3093189929200275;1.7816275165421394;0.2601600176480323;0
75;240;221;2983;1.017933580483433;1.7779040413398262;0.2617747356822838;0
76;175;175;5958;0.9586011059034032;1.5676772349303545;0.2674123232548743;0
77;210;231;3962;1.1343105379867977;1.5387941468038977;0.2658103128797866;0
78;222;250;3021;1.279450461479816;1.564523787523797;0.2657469749034812;0
79;210;212;2909;1.360248937640401;1.5697218046157482;0.2658426062178767;0
80;197;206;3375;1.312246671484628;1.590847564886902;0.260183037592292;0
81;183;188;3118;1.263923285717815;1.5011984285485451;0.259984346993482;0
82;201;206;3435;1.2336846592757649;1.510823128891583;0.2582830962129617;0
83;192;208;4219;1.1429537888959762;1.538490706872965;0.2564590383223094;0
84;206;226;3607;1.32086595840262;1.6147923277812508;0.257244560084083;0
85;226;224;3396;1.207885425022836;1.620568753313879;0.2593145421876288;0
86;222;215;3833;1.607635937047948;1.7374501698295892;0.2593886910425376;0
87;210;211;3542;1.7173997039358506;1.7374501698295892;0.2607733164205008;0
88;202;213;3959;1.7274579116220925;1.7387138845523007;0.2555459477772041;0
89;228;230;3356;1.5950449571923684;1.7003322342791412;0.2475633396256176;0
90;186;186;5066;1.4808566449349203;1.652678285686214;0.2428956168975617;0
91;216;217;5647;1.7487989427442254;1.7752815864739668;0.2463079872163028;0
92;219;241;4569;1.759356961665607;1.72438678278319;0.2402638255639082;0
93;227;223;3323;1.6281351354136235;1.7064855488668331;0.2060993430917699;0
94;229;236;4052;1.6097054185904858;1.64204173040686;0.2049853453410177;0
95;240;244;3597;1.3762780996389468;1.5468101115075126;0.2059795154907803;0
96;264;257;4445;0.945922241111925;1.4167224932444702;0.2032638077913477;0
97;200;204;3911;0.899394904734507;1.4358399674495568;0.1949233246747819;0
98;204;202;3960;0.9319065735088212;1.42752146878754;0.1845744097139515;0
99;194;187;3101;0.9028733469848066;1.42088735836709;0.1840351405105055;0
100;191;190;3032;0.8899969822614937;1.467795898810667;0.1879530463218645;0
101;198;201;3118;0.940533790429852;1.5078564443193618;0.1865387147011974;0
102;182;194;3181;0.8180635567566553;1.5439425832234028;0.1888895153195372;0
103;215;213;3028;0.9561869107636664;1.5717881626103274;0.1927669997676896;0
104;231;231;3314;0.9089636880692196;1.4779700188644789;0.1936684110376935;0
105;194;193;3905;1.3294507225082894;1.5637044716250743;0.1904551606938066;0
106;183;193;2971;1.2738746825312044;1.6143503886950188;0.1914977840937716;0
107;180;181;3310;1.0958039028990971;1.5720034712430695;0.1930105141213723;0
108;224;231;3862;1.1399581439832125;1.5762163475065678;0.1809645769293835;0
